City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,Astana,51.1801,71.446,57.15,82,0,4.47,KZ,2022-06-19 22:32:17
128,Lata,40.1629,-8.3327,54.82,89,68,4.32,PT,2022-06-19 22:32:17
129,Rio Gallegos,-51.6226,-69.2181,35.65,80,0,17.27,AR,2022-06-19 22:27:53
130,Gallup,35.5281,-108.7426,82.24,30,40,21.85,US,2022-06-19 22:32:18
131,Buchanan,5.8808,-10.0467,77.49,74,8,5.61,LR,2022-06-19 22:32:18
132,Varkaus,62.3153,27.873,50.31,97,100,10.0,FI,2022-06-19 22:32:19
133,Kaniama,-7.5667,24.1833,73.09,44,69,1.95,CD,2022-06-19 22:32:19
134,Leningradskiy,69.3833,178.4167,52.86,62,55,4.12,RU,2022-06-19 22:32:19
135,Tiksi,71.6872,128.8694,34.7,76,100,17.54,RU,2022-06-19 22:32:20
136,Cam Ranh,11.9214,109.1591,76.96,83,20,0.0,VN,2022-06-19 22:32:20
137,Atuona,-9.8,-139.0333,77.7,77,30,14.61,PF,2022-06-19 22:32:21
138,Khatanga,71.9667,102.5,48.27,50,54,6.55,RU,2022-06-19 22:32:21
139,Mesker-Yurt,43.2515,45.9072,64.71,64,0,3.22,RU,2022-06-19 22:32:21
140,Janakkala,60.9,24.6,48.6,94,96,4.63,FI,2022-06-19 22:33:22
141,Adrar,20.5022,-10.0711,88.14,39,83,5.75,MR,2022-06-19 22:33:22
142,Dong Hoi,17.4833,106.6,83.55,68,92,6.82,VN,2022-06-19 22:33:22
143,San Cristobal,7.7669,-72.225,69.98,88,93,3.6,VE,2022-06-19 22:33:23
144,Aldan,58.6031,125.3894,69.48,47,1,6.53,RU,2022-06-19 22:33:23
145,Xinzhou,38.4092,112.7333,74.34,60,59,1.61,CN,2022-06-19 22:33:24
146,Santa Maria,-29.6842,-53.8069,47.5,93,0,2.3,BR,2022-06-19 22:33:24
147,Faanui,-16.4833,-151.75,79.39,75,28,20.69,PF,2022-06-19 22:33:24
148,Longyearbyen,78.2186,15.6401,40.84,65,75,17.27,SJ,2022-06-19 22:33:25
149,Swan Hill,-35.3378,143.5544,50.49,83,77,9.08,AU,2022-06-19 22:33:25
150,Hobart,-42.8794,147.3294,52.27,84,75,4.61,AU,2022-06-19 22:33:00
151,Waipawa,-41.4122,175.5153,43.66,69,99,17.47,NZ,2022-06-19 22:33:26
152,Nelson Bay,-32.7167,152.15,57.99,97,100,8.12,AU,2022-06-19 22:33:26
153,Kirakira,-10.4544,161.9205,83.16,71,36,4.23,SB,2022-06-19 22:33:27
154,Yabelo,4.8833,38.0833,59.07,72,86,5.03,ET,2022-06-19 22:33:27
155,Birin,26.8865,88.0718,61.21,97,97,2.84,NP,2022-06-19 22:33:27
156,Aklavik,68.2191,-135.0107,56.77,42,53,18.68,CA,2022-06-19 22:33:28
157,Georgetown,5.4112,100.3354,78.73,97,20,3.44,MY,2022-06-19 22:30:24
158,Yulara,-25.2406,130.9889,58.71,36,0,5.41,AU,2022-06-19 22:33:28
159,Constitucion,-35.3333,-72.4167,52.36,69,100,3.74,CL,2022-06-19 22:33:28
160,Cidreira,-30.1811,-50.2056,54.41,80,1,4.09,BR,2022-06-19 22:33:29
161,Miri,4.4148,114.0089,77.14,94,40,3.44,MY,2022-06-19 22:33:29
162,Pisco,-13.7,-76.2167,62.02,88,2,6.91,PE,2022-06-19 22:33:30
163,Bathsheba,13.2167,-59.5167,83.01,69,40,19.57,BB,2022-06-19 22:33:30
164,Mayumba,-3.432,10.6554,70.9,91,97,7.78,GA,2022-06-19 22:33:30
165,Havoysund,70.9963,24.6622,43.03,85,24,7.7,NO,2022-06-19 22:33:31
166,Salacgriva,57.7536,24.3581,51.44,86,75,8.9,LV,2022-06-19 22:33:31
