,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Berlevag,NO,70.8578,29.0864,42.8,93,100,1.14,overcast clouds
327,Souillac,MU,-20.5167,57.5167,68.38,88,40,3.44,scattered clouds
328,Naze,JP,28.3667,129.4833,76.12,84,97,10.56,overcast clouds
329,Teguise,ES,29.0605,-13.564,68.22,73,75,14.97,broken clouds
330,Pyapon,MM,16.2833,95.6833,77.92,91,91,3.42,overcast clouds
331,Lichuan,CN,30.3,108.85,67.91,92,58,2.28,broken clouds
332,Requena,ES,39.4883,-1.1004,68.79,83,1,0.78,clear sky
333,Necochea,AR,-38.5473,-58.7368,44.33,72,80,4.72,broken clouds
334,Coihueco,CL,-36.6167,-71.8333,45.34,93,100,4.61,mist
335,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.4,93,100,16.11,mist
336,Hualmay,PE,-11.0964,-77.6139,62.87,79,11,12.68,few clouds
337,Camacha,PT,33.0833,-16.3333,63.82,77,40,19.57,scattered clouds
338,Sal,JO,32.5694,35.9119,63.73,74,0,5.53,clear sky
339,Puerto Wilches,CO,7.3483,-73.896,76.91,89,86,1.41,overcast clouds
340,Cabra,ES,37.4725,-4.4421,62.01,72,0,2.73,clear sky
341,Kholm,RU,59.2667,32.85,47.61,69,25,9.4,scattered clouds
342,Tura,IN,25.5198,90.2201,72.3,98,100,5.57,moderate rain
343,Wajima,JP,37.4,136.9,77.68,78,40,10.36,scattered clouds
344,Robertsport,LR,6.7533,-11.3686,79.16,76,4,8.5,clear sky
345,Saquarema,BR,-22.92,-42.5103,65.53,83,78,7.63,broken clouds
346,Laredo,US,27.5064,-99.5075,100.69,30,20,16.11,few clouds
347,Bilma,NE,18.6853,12.9164,89.1,11,0,9.1,clear sky
348,Acajutla,SV,13.5928,-89.8275,80.17,82,91,7.74,overcast clouds
349,Faya,SA,18.3851,42.4509,72.12,46,98,4.29,overcast clouds
